,Year,Brand,Model,Comb_CO2,Prediction
255,2013,Bentley Motors Ltd.,Continental GT,505,527.5442136
258,2013,BMW,320i,320,371.4372709
261,2013,BMW,320i xDrive,345,375.5280577
267,2013,BMW,335i xDrive,377,435.5438742
269,2013,BMW,640i Gran Coupe,374,435.5438742
270,2013,BMW,650i Gran Coupe,458,529.769504
271,2013,BMW,650i xDrive Gran Coupe,473,529.769504
272,2013,BMW,ActiveHybrid 3,313,322.4043759
274,2013,BMW,M6 Gran Coupe,517,547.8071589
275,2013,Buick,VERANO,371,375.5280577
277,2013,Buick,VERANO,361,375.9430328
283,2013,Cadillac,ATS AWD,377,375.5280577
284,2013,Cadillac,ATS AWD,426,449.8790738
285,2013,Cadillac,ATS AWD,426,449.8790738
290,2013,Chevrolet,CAMARO,480,568.2141602
294,2013,Chevrolet,SONIC,271,314.6592912
296,2013,Chevrolet,SONIC,301,329.3231693
299,2013,Ford,FOCUS FWD,290,331.8771381
301,2013,Ford,FOCUS FWD,300,335.66589
303,2013,Ford,Focus FWD FFV,287,331.8771381
304,2013,Ford,Focus FWD FFV,287,331.8771381
305,2013,Ford,Focus FWD FFV,300,335.66589
309,2013,Honda,CIVIC,284,322.3497352
310,2013,Honda,CIVIC,354,386.4031838
312,2013,Honda,CIVIC HYBRID,200,225.9459157
314,2013,Honda,INSIGHT,209,251.4167985
316,2013,HYUNDAI MOTOR COMPANY,ACCENT,276,315.7049796
318,2013,HYUNDAI MOTOR COMPANY,VELOSTER,288,319.1916966
319,2013,HYUNDAI MOTOR COMPANY,VELOSTER,288,319.1916966
322,2013,KIA MOTORS CORPORATION,FORTE KOUP,323,345.8240062
323,2013,KIA MOTORS CORPORATION,FORTE KOUP,344,368.9695988
325,2013,KIA MOTORS CORPORATION,RIO,288,319.1916966
326,2013,KIA MOTORS CORPORATION,RIO,279,315.7049796
331,2013,MAZDA,MAZDA3,322,346.1260411
332,2013,MAZDA,MAZDA3,309,342.6393241
334,2013,MAZDA,MAZDA3,375,389.5745442
336,2013,MAZDA,MAZDA3 DI 4-Door,288,331.8771381
337,2013,Mercedes-Benz,C 250,352,379.3434531
339,2013,Mercedes-Benz,C 300 4MATIC,403,453.3791126
340,2013,Mercedes-Benz,C 350,378,439.4322446
342,2013,Mercedes-Benz,C 350,382,446.4056786
343,2013,Mercedes-Benz,C 63 AMG,578,630.6730316
344,2013,Mercedes-Benz,CL 550 4MATIC,498,546.5590541
349,2013,Mercedes-Benz,CLS 550 4MATIC,458,536.098903
351,2013,Mini,Mini Cooper Countryman,328,347.0854327
352,2013,Mini,Mini Cooper Countryman,293,333.1385647
353,2013,Mini,Mini Cooper Countryman Coupe,328,347.0854327
354,2013,Mini,Mini Cooper Countryman Coupe,293,333.1385647
355,2013,Mini,Mini Cooper S Countr. Coupe ALL4,339,362.8426161
358,2013,Mini,Mini Cooper S Countryman,309,345.4090311
368,2013,Mitsubishi Motors Corporation,LANCER,307,342.3372892
370,2013,Mitsubishi Motors Corporation,LANCER,344,368.9695988
373,2013,Mitsubishi Motors Corporation,LANCER EVOLUTION,470,431.3155299
376,2013,NISSAN,VERSA,254,289.3214179
379,2013,Rolls-Royce Motor Cars Limited,Phantom Drophead Coupe,637,683.1200615
382,2013,Subaru,IMPREZA AWD,295,322.9271615
383,2013,Subaru,IMPREZA AWD,309,342.6393241
386,2013,Suzuki,KIZASHI,344,353.0461881
391,2013,Suzuki,SX4 SEDAN,317,329.9005955
394,2013,Suzuki,SX4 Sport,339,356.2841572
396,2013,TOYOTA,COROLLA,297,329.3231693
397,2013,TOYOTA,PRIUS c,179,215.4349411
398,2013,TOYOTA,YARIS,273,306.1642549
399,2013,TOYOTA,YARIS,266,305.8622201
400,2013,Volkswagen,BEETLE,351,382.5014917
405,2013,Volkswagen,BEETLE,354,379.9227012
409,2013,Volkswagen,CC 4MOTION,446,470.7993759
411,2013,Volkswagen,GOLF,315,347.6343215
412,2013,Volkswagen,GOLF,334,376.1339493
418,2013,Volkswagen,Jetta,318,347.6343215
419,2013,Volkswagen,Jetta,344,363.2575913
420,2013,Volkswagen,Jetta,316,342.6393241
425,2013,Volkswagen,Jetta Hybrid,200,237.7985626
428,2013,"Volvo Cars of North America, LLC",S60 AWD,375,402.3512838
432,2013,Acura,TL 4WD,419,463.5105853
433,2013,Acura,TL 4WD,441,473.9707363
434,2013,Audi,A6,320,371.4372709
435,2013,Audi,A6 quattro,374,395.84429
444,2013,Bentley Motors Ltd.,Mulsanne,688,703.5102296
445,2013,BMW,528i,323,371.4372709
446,2013,BMW,528i xDrive,321,381.8974219
447,2013,BMW,535i,374,435.5438742
465,2013,Buick,REGAL,305,337.1919672
469,2013,Cadillac,CTS,463,448.2844966
472,2013,Cadillac,CTS,557,627.6222631
477,2013,Chevrolet,CRUZE,333,342.9680025
478,2013,Chevrolet,CRUZE,305,335.9945684
480,2013,Chevrolet,CRUZE ECO,268,314.6592912
485,2013,Chevrolet,SONIC 5,271,314.6592912
486,2013,Chevrolet,SONIC 5,312,339.4812854
489,2013,Chevrolet,SONIC RS,298,328.6061593
490,2013,Chrysler,200,376,373.0603855
491,2013,Chrysler,200,381,386.4031838
493,2013,Dodge,Avenger,376,373.0603855
496,2013,Dodge,Challenger,425,446.6943917
497,2013,Dodge,Challenger,476,545.6859591
499,2013,Dodge,Challenger SRT8,520,599.2659349
505,2013,Dodge,Dart,304,342.3372892
507,2013,Dodge,Dart,332,361.9961647
512,2013,Ford,FUSION AWD,354,372.0413406
521,2013,Honda,ACCORD,323,358.5094477
522,2013,Honda,ACCORD,349,418.8139773
525,2013,HYUNDAI MOTOR COMPANY,ELANTRA,277,322.0477004
526,2013,HYUNDAI MOTOR COMPANY,ELANTRA,277,322.0477004
528,2013,HYUNDAI MOTOR COMPANY,ELANTRA COUPE,287,325.5344174
529,2013,HYUNDAI MOTOR COMPANY,ELANTRA COUPE,279,322.0477004
530,2013,HYUNDAI MOTOR COMPANY,ELANTRA GT,297,332.5078514
531,2013,HYUNDAI MOTOR COMPANY,ELANTRA GT,297,332.5078514
532,2013,HYUNDAI MOTOR COMPANY,SONATA HYBRID,237,257.2414144
533,2013,HYUNDAI MOTOR COMPANY,SONATA HYBRID LIMITED,239,260.7281314
534,2013,INFINITI,G37,409,459.7218334
535,2013,INFINITI,G37,453,473.9707363
538,2013,INFINITI,M37,419,466.6952674
540,2013,INFINITI,M56,477,555.8573971
550,2013,KIA MOTORS CORPORATION,FORTE,345,368.9695988
552,2013,KIA MOTORS CORPORATION,OPTIMA,337,365.0679066
553,2013,KIA MOTORS CORPORATION,OPTIMA,322,358.5094477
557,2013,LEXUS,ES 300h,224,262.2691758
561,2013,LEXUS,GS 450h,283,327.5874893
564,2013,LEXUS,LS 460 L,468,527.3284754
565,2013,LEXUS,LS 460 L AWD,485,537.7886265
567,2013,Lincoln,MKZ AWD,354,372.0413406
569,2013,Lincoln,MKZ FWD,340,365.0679066
570,2013,Lincoln,MKZ FWD,408,442.5902832
572,2013,MAZDA,MAZDA3 DI 5-Door,278,328.3904211
573,2013,MAZDA,MAZDA3 DI 5-Door,289,331.8771381
574,2013,MAZDA,MAZDA6,361,375.929711
575,2013,MAZDA,MAZDA6,364,382.6011102
581,2013,Mercedes-Benz,E 350 4MATIC,400,453.3791126
582,2013,Mercedes-Benz,E 350 4MATIC,398,453.3791126
584,2013,Mercedes-Benz,E 400 Hybrid,336,390.0221535
585,2013,Mercedes-Benz,E 550 4MATIC,454,525.638752
588,2013,NISSAN,ALTIMA,351,418.8139773
589,2013,NISSAN,MAXIMA,410,450.1944305
595,2013,Subaru,LEGACY AWD,372,382.6011102
597,2013,TOYOTA,AVALON,358,418.8139773
599,2013,TOYOTA,AVALON HYBRID,224,262.2691758
600,2013,TOYOTA,CAMRY,312,361.6808081
601,2013,TOYOTA,CAMRY,358,418.8139773
602,2013,TOYOTA,CAMRY HYBRID LE,215,242.8590481
605,2013,Volkswagen,Passat,351,383.1073834
610,2013,Audi,A8L,418,465.2479256
613,2013,BMW,535i Gran Turismo,374,435.5438742
616,2013,BMW,550i xDrive Gran Turismo,473,529.769504
618,2013,BMW,740Li,399,449.4907422
621,2013,BMW,750i xDrive,473,529.769504
622,2013,BMW,750Li,480,529.769504
625,2013,BMW,ActiveHybrid 7L,350,339.837961
627,2013,BMW,Alpina B7 LWB xDrive,473,529.769504
630,2013,BMW,X1 sDrive28i,323,371.4372709
632,2013,BMW,X1 xDrive35i,418,450.094812
634,2013,Cadillac,XTS AWD,447,456.8525079
635,2013,Chevrolet,IMPALA,413,439.4189228
643,2013,Chrysler,300 SRT8,520,599.2659349
646,2013,Dodge,Charger,386,438.814853
647,2013,Dodge,Charger,386,438.814853
648,2013,Dodge,Charger,476,545.6859591
650,2013,Dodge,Charger AWD,413,456.2484381
658,2013,Ford,TAURUS FWD,393,429.2741284
659,2013,Ford,TAURUS FWD FFV,393,429.2741284
661,2013,HYUNDAI MOTOR COMPANY,EQUUS,493,550.474068
663,2013,HYUNDAI MOTOR COMPANY,GENESIS R SPEC,495,550.474068
664,2013,HYUNDAI MOTOR COMPANY,SONATA,339,365.0679066
666,2013,HYUNDAI MOTOR COMPANY,SONATA,325,358.5094477
668,2013,Jaguar,Jaguar XJL FFV,475,540.0139169
669,2013,Jaguar,Jaguar XJL FFV,504,568.0415667
670,2013,Jaguar Cars Ltd,Jaguar XJ,421,465.2479256
671,2013,Jaguar Cars Ltd,Jaguar XJ,504,568.0415667
672,2013,Jaguar Cars Ltd,Jaguar XJ AWD,468,486.1682277
673,2013,Jaguar Cars Ltd,Jaguar XJ LWB,442,475.7080767
674,2013,Jaguar Cars Ltd,Jaguar XJ LWB,475,540.0139169
680,2013,MASERATI,QUATTROPORTE,628,597.3515289
682,2013,Mercedes-Benz,S 550 4MATIC,500,546.5590541
684,2013,Mercedes-Benz,S 63 AMG,500,571.9299371
686,2013,Mercedes-Benz,S400 HYBRID,414,424.8893237
688,2013,Porsche,Panamera 4,428,463.523907
689,2013,Porsche,Panamera 4S,468,530.486514
699,2013,Acura,TSX WAGON,358,383.2185017
701,2013,Audi,A3,318,347.6343215
702,2013,Audi,A3,376,389.4749257
704,2013,Audi,allroad quattro,394,402.817724
706,2013,Cadillac,CTS WAGON,430,430.8509116
707,2013,Cadillac,CTS WAGON,426,449.8790738
708,2013,Cadillac,CTS WAGON,645,662.4894333
709,2013,Cadillac,CTS WAGON,557,627.6222631
710,2013,Cadillac,CTS WAGON AWD,433,430.8509116
711,2013,Cadillac,CTS WAGON AWD,425,449.8790738
712,2013,Honda,FIT,286,312.8356541
716,2013,INFINITI,EX37 AWD,447,477.1554185
717,2013,KIA MOTORS CORPORATION,SOUL,330,336.6252817
718,2013,KIA MOTORS CORPORATION,SOUL,331,336.6252817
719,2013,KIA MOTORS CORPORATION,SOUL,351,363.2575913
723,2013,Mitsubishi Motors Corporation,LANCER SPORTBACK,322,349.3107232
724,2013,Mitsubishi Motors Corporation,LANCER SPORTBACK,358,375.9430328
725,2013,NISSAN,CUBE,310,323.5578747
726,2013,NISSAN,CUBE,330,342.9680025
729,2013,NISSAN,JUKE AWD,328,355.8691821
731,2013,SCION,xB,367,376.2450677
732,2013,Subaru,IMPREZA WAGON AWD,295,322.9271615
735,2013,Subaru,IMPREZA WAGON AWD,468,447.1723318
736,2013,TOYOTA,COROLLA MATRIX,322,333.1119212
741,2013,Volkswagen,JETTA SPORTWAGEN,334,376.1339493
742,2013,Volkswagen,JETTA SPORTWAGEN,335,372.9492672
744,2013,Volkswagen,JETTA SPORTWAGEN,315,347.6343215
745,2013,Mercedes-Benz,E 350 4Matic (Wagon),413,453.3791126
749,2013,NISSAN,FRONTIER 2WD,426,403.8234472
751,2013,NISSAN,FRONTIER 2WD,480,479.9981004
753,2013,TOYOTA,TACOMA 2WD,390,392.7325828
758,2013,TOYOTA,TACOMA 4WD,457,424.4150708
762,2013,Chevrolet,C15 SILVERADO 2WD,532,507.5498364
766,2013,Chevrolet,C15 SILVERADO 2WD HYBRID,418,447.7481067
769,2013,Ford,F150 PICKUP 2WD,482,483.385199
770,2013,Ford,F150 PICKUP 2WD,601,610.0547644
771,2013,Ford,F150 PICKUP 2WD FFV,471,470.4840193
772,2013,Ford,F150 PICKUP 2WD FFV,470,470.4840193
774,2013,Ford,F150 PICKUP 2WD FFV,520,544.1047037
775,2013,GMC,C15 SIERRA 2WD,533,507.5498364
779,2013,GMC,C15 SIERRA 2WD HYBRID,418,447.7481067
781,2013,NISSAN,TITAN 2WD,601,587.84192
786,2013,RAM,1500 2WD,560,583.7378114
787,2013,RAM,1500 2WD,515,576.1603077
790,2013,TOYOTA,TUNDRA 2WD,529,531.4192622
792,2013,Chevrolet,K15 SILVERADO 4WD,576,535.4435725
795,2013,Chevrolet,K15 SILVERADO 4WD,625,627.4883494
800,2013,Ford,F150 PICKUP 4WD FFV,506,480.9441703
805,2013,GMC,K15 SIERRA 4WD,576,535.4435725
814,2013,RAM,1500 4WD,474,473.6820232
815,2013,RAM,1500 4WD,564,548.5374906
817,2013,RAM,1500 4WD,527,576.1603077
818,2013,TOYOTA,TUNDRA 4WD,562,545.3661303
819,2013,TOYOTA,TUNDRA 4WD,609,594.1979625
820,2013,TOYOTA,TUNDRA 4WD FFV,596,594.1979625
825,2013,Chevrolet,H1500 EXPRESS AWD CARGO,621,592.5767418
827,2013,Ford,E150 VAN FFV,613,552.943634
828,2013,Ford,E150 VAN FFV,647,595.7481021
829,2013,Ford,E250 VAN FFV,613,552.943634
830,2013,Ford,E250 VAN FFV,650,595.7481021
833,2013,GMC,G1500 SAVANA 2WD CARGO,529,507.5498364
834,2013,GMC,G1500 SAVANA 2WD CARGO,601,575.1431567
838,2013,GMC,H1500 SAVANA CONV AWD CARGO,621,592.5767418
841,2013,Chevrolet,G2500 EXPRESS 2WD PASS MDPV,675,604.0096063
844,2013,Chevrolet,G3500 EXPRESS 2WD PASS MDPV,723,666.4729499
848,2013,Ford,E350 WAGON,790,724.5388673
849,2013,Ford,E350 WAGON FFV,692,616.6684042
854,2013,GMC,G3500 SAVANA 2WD PASS (MDPV,720,666.4729499
857,2013,Cadillac,XTS LIMO,526,491.719678
858,2013,Ford,Transit Connect Van,384,367.348378
861,2013,The Vehicle Production Group LLC,MV-1,581,552.943634
863,2013,Chrysler,Town & Country,453,456.8525079
865,2013,Dodge,Grand Caravan,444,456.8525079
868,2013,MAZDA,MAZDA 5,454,379.416428
871,2013,RAM,C/V,444,456.8525079
872,2013,TOYOTA,SIENNA,417,413.35085
873,2013,TOYOTA,SIENNA,429,446.7077135
874,2013,Volkswagen,Routan,453,456.8525079
877,2013,Buick,ENCORE,317,335.5795933
882,2013,Chevrolet,EQUINOX FWD,443,456.8525079
887,2013,Ford,EDGE FWD,406,436.2475624
892,2013,GMC,TERRAIN FWD,344,368.9695988
895,2013,GMC,TERRAIN FWD,446,456.8525079
896,2013,Honda,CROSSTOUR 2WD,354,372.7583506
897,2013,Honda,CROSSTOUR 2WD,382,429.2741284
898,2013,Honda,CR-V 2WD,343,365.7849166
900,2013,HYUNDAI MOTOR COMPANY,SANTA FE 2WD,432,440.3649927
904,2013,HYUNDAI MOTOR COMPANY,TUCSON 2WD,405,377.5064942
905,2013,HYUNDAI MOTOR COMPANY,TUCSON 2WD,358,375.9430328
907,2013,INFINITI,FX37 RWD,460,487.6155695
912,2013,Jeep,Compass 2WD,357,372.7583506
913,2013,Jeep,Patriot 2WD,365,350.8208976
914,2013,Jeep,Patriot 2WD,346,353.0994751
916,2013,Jeep,Patriot 2WD,357,372.7583506
918,2013,KIA MOTORS CORPORATION,SORENTO 2WD,372,379.4297498
920,2013,KIA MOTORS CORPORATION,SORENTO 2WD,402,436.2475624
922,2013,KIA MOTORS CORPORATION,SPORTAGE 2WD,358,375.9430328
925,2013,LEXUS,RX 450h,297,331.0742064
927,2013,Lincoln,MKX FWD,413,442.5902832
928,2013,MAZDA,CX-5 2WD,307,342.3372892
930,2013,MAZDA,CX-9 2WD,457,470.4840193
932,2013,Mercedes-Benz,GLK 350,416,460.3525466
935,2013,Mitsubishi Motors Corporation,OUTLANDER SPORT 2WD,329,349.3107232
937,2013,NISSAN,MURANO FWD,438,437.7577368
939,2013,NISSAN,ROGUE FWD,355,363.1909825
940,2013,NISSAN,XTERRA 2WD,489,487.2735693
942,2013,Suzuki,GRAND VITARA,408,390.1919357
945,2013,TOYOTA,HIGHLANDER 2WD,437,450.4964654
947,2013,TOYOTA,VENZA,388,395.917265
952,2013,"Volvo Cars of North America, LLC",XC70 FWD,414,437.1936323
954,2013,Acura,RDX 4WD,399,450.1944305
956,2013,Audi,Q5,389,402.817724
957,2013,Audi,Q5,393,402.817724
958,2013,Audi,Q5,429,465.2479256
960,2013,BMW,X3 xDrive28i,370,395.84429
962,2013,Buick,ENCORE AWD,348,346.0397443
965,2013,Chevrolet,EQUINOX AWD,379,386.4031838
967,2013,Chevrolet,EQUINOX AWD,476,467.3126589
968,2013,Dodge,Journey AWD,464,467.3126589
969,2013,Ford,EDGE AWD,433,446.7077135
970,2013,Ford,EDGE AWD,433,446.7077135
973,2013,Ford,ESCAPE AWD,373,375.5280577
978,2013,Honda,CROSSTOUR 4WD,405,436.2475624
980,2013,HYUNDAI MOTOR COMPANY,SANTA FE 4WD,443,447.3384267
982,2013,HYUNDAI MOTOR COMPANY,Santa Fe Sport 4WD,406,393.3766179
983,2013,HYUNDAI MOTOR COMPANY,TUCSON 4WD,388,386.4031838
985,2013,INFINITI,FX37 AWD,482,498.0757205
986,2013,INFINITI,FX50 AWD,549,575.183122
991,2013,Jeep,Patriot 4WD,417,387.9133582
993,2013,Jeep,Patriot 4WD,363,376.2450677
995,2013,Jeep,Wrangler 4WD,481,477.77281
998,2013,KIA MOTORS CORPORATION,SORENTO 4WD,386,386.4031838
999,2013,KIA MOTORS CORPORATION,SORENTO 4WD,406,393.3766179
1000,2013,KIA MOTORS CORPORATION,SORENTO 4WD,436,453.6811475
1002,2013,KIA MOTORS CORPORATION,SPORTAGE 4WD,388,386.4031838
1003,2013,KIA MOTORS CORPORATION,SPORTAGE 4WD,425,403.8367689
1004,2013,Land Rover,LR2,450,420.8553789
1008,2013,LEXUS,RX 450h AWD,309,334.5609234
1010,2013,Lincoln,MKX AWD,459,470.4840193
1011,2013,MAZDA,CX-5 4WD,320,345.8240062
1012,2013,MAZDA,CX-9 4WD,481,480.9441703
1013,2013,Mercedes-Benz,GLK 250 BLUETEC 4MATIC,367,371.4239491
1016,2013,Mitsubishi Motors Corporation,OUTLANDER 4WD,372,379.4297498
1021,2013,NISSAN,PATHFINDER 4WD,415,430.7843028
1025,2013,Subaru,FORESTER AWD,387,383.2051799
1026,2013,Subaru,FORESTER AWD,428,419.8826654
1027,2013,Subaru,FORESTER AWD,385,386.3898621
1029,2013,Subaru,OUTBACK AWD,372,382.6011102
1035,2013,TOYOTA,FJ CRUISER 4WD,495,487.2735693
1037,2013,TOYOTA,HIGHLANDER 4WD,464,460.9566164
1042,2013,Volkswagen,TIGUAN 4MOTION,394,396.4483598
1043,2013,"Volvo Cars of North America, LLC",XC60 AWD,444,446.608095
1050,2013,Cadillac,ESCALADE ESV 2WD,570,596.1078963
1053,2013,Chevrolet,C1500 SUBURBAN 2WD,521,553.6187848
1054,2013,Chevrolet,C1500 TAHOE 2WD,521,553.6187848
1055,2013,Chevrolet,C1500 TAHOE 2WD HYBRID,418,447.7481067
1059,2013,Dodge,Durango 2WD,560,583.7378114
1063,2013,Ford,EXPLORER FWD,450,453.6811475
1066,2013,GMC,C1500 YUKON 2WD,521,553.6187848
1069,2013,GMC,C1500 YUKON XL 2WD,521,553.6187848
1072,2013,INFINITI,QX56 2WD,562,594.2112842
1080,2013,TOYOTA,SEQUOIA 2WD,600,594.1979625
1083,2013,Audi,Q7,466,449.4907422
1085,2013,BMW,X5 xDrive35d,463,443.121378
1086,2013,BMW,X5 xDrive35i,478,477.3844784
1091,2013,Buick,ENCLAVE AWD,494,477.77281
1093,2013,Cadillac,ESCALADE AWD,581,610.0547644
1106,2013,Ford,EXPLORER AWD,484,483.385199
1107,2013,Ford,EXPLORER FFV AWD,470,464.1412985
1108,2013,Ford,FLEX AWD,470,464.1412985
1111,2013,GMC,K1500 YUKON 4WD,521,553.6187848
1113,2013,GMC,K1500 YUKON DENALI AWD,581,610.0547644
1118,2013,Honda,PILOT 4WD,446,450.4964654
1119,2013,INFINITI,QX56 4WD,566,594.2112842
1121,2013,Jeep,Grand Cherokee 4WD,592,601.1713965
1124,2013,Land Rover,Range Rover,595,613.3688879
1128,2013,LEXUS,GX 460,514,545.3661303
1131,2013,Mercedes-Benz,G 550,686,650.3141131
1135,2013,Mercedes-Benz,GL 63 AMG,615,634.6908434
1138,2013,Mercedes-Benz,ML 550 4MATIC,541,574.4527902
1139,2013,Mercedes-Benz,ML 63 AMG,611,617.2572583
1142,2013,NISSAN,ARMADA 4WD,626,605.275505
1143,2013,Porsche,Cayenne,477,487.6288913
1145,2013,Porsche,Cayenne Diesel,445,442.5173082
1149,2013,Porsche,Cayenne Turbo,525,566.8619647
1151,2013,TOYOTA,4RUNNER 4WD,478,487.2735693
1162,2014,Aston Martin Lagonda Ltd,V8 Vantage,551,562.1823238
1168,2014,Audi,R8,557,586.0251061
1175,2014,BMW,Z4 sDrive28i,341,378.4107049
1176,2014,BMW,Z4 sDrive28i,337,372.0413406
1178,2014,BMW,Z4 sDrive35i,415,450.094812
1184,2014,"Ferrari North America, Inc.",458 Italia,612,573.2731881
1185,2014,"Ferrari North America, Inc.",458 Speciale,622,590.7067732
1189,2014,"Ferrari North America, Inc.",F12,679,688.1702399
1191,2014,Honda,CR-Z,238,259.0065237
1194,2014,Jaguar,F-TYPE S Convertible,403,454.7877746
1195,2014,Jaguar,F-TYPE V8 S Convertible,487,564.5548497
